File,Original File Checksum,New File Checksum
BNBBTC-aggTrades-2018-01,109df4fd75c918bc1b1dc653c24dc3b76854b08e994d15b53e625509993f4323  BNBBTC-aggTrades-2018-01.zip,8faa393c9532defe192c7a08f61f64b7b98089020683cb3520d5ea2503f9201c  BNBBTC-aggTrades-2018-01.zip
QTUMETH-aggTrades-2018-01,bb6e10d41e6810b158320544a80077113e9099128aa1bf4f2bdc883f3e99d375  QTUMETH-aggTrades-2018-01.zip,f5592c8b834cdb8624226b72bd0d147930d9ee54557bcf8d73719749f95d9f68  QTUMETH-aggTrades-2018-01.zip
EOSETH-aggTrades-2018-01,7fcb8f4987693b6a1fb27297623a20449814c0d0afa2bebe60214552c7f7305e  EOSETH-aggTrades-2018-01.zip,d7b627cfa28f149221e58d7706af1766422c1858ce5569a3d37e5d185cf3e620  EOSETH-aggTrades-2018-01.zip
BNTETH-aggTrades-2018-01,8794342ee3a1bee1eff320db61c5094da337bcc311e75a0a2adbfe964d6dbd93  BNTETH-aggTrades-2018-01.zip,fc752f3280d0376719be6a2e1a43307348fe1561965b53e8f31c8845dc86ef77  BNTETH-aggTrades-2018-01.zip
GASBTC-aggTrades-2018-01,1a2fdb8de50d7830c256d84ea7da57de51d2b0f1f992a022c3b0da1427aab481  GASBTC-aggTrades-2018-01.zip,72d4df548e5551994a066b3527d7a69cc3adff405c96245f0b4c52f7e6c897ad  GASBTC-aggTrades-2018-01.zip
BNBETH-aggTrades-2018-01,6a6cc0d904914e98f81f84430599e93f1abde81b13a0e3b8f5fc17f49f599df3  BNBETH-aggTrades-2018-01.zip,fac95d323dfee2f18dfe56bc6ea8897c93ed027c2b1e552a175d7a7e0beab333  BNBETH-aggTrades-2018-01.zip
ETHUSDT-aggTrades-2018-01,090f4661a2425982f421fd16d8636574b2c55c135c6145806d24795d3b7a31d9  ETHUSDT-aggTrades-2018-01.zip,163f207d9aabbd6c3bc85f2962305ea2752aff4e2bf326fe34838e44f135786c  ETHUSDT-aggTrades-2018-01.zip
OAXETH-aggTrades-2018-01,ca990835b8a8b7c8257f4fe1dee2bcb36d7c34349847eb53c1916278a2e386b6  OAXETH-aggTrades-2018-01.zip,3ca005e66f82e3f954641465756b2c86e434327daef8705dcca10333775291bc  OAXETH-aggTrades-2018-01.zip
DNTETH-aggTrades-2018-01,43fdf163bfe9f705bb34e9ef8b60b4a47450418e445f03006a83fbf3318c139a  DNTETH-aggTrades-2018-01.zip,7c0a8230a4ab28c61de781233f80d5f66a939c9a207a067e5181290f6a417b72  DNTETH-aggTrades-2018-01.zip
MCOETH-aggTrades-2018-01,0847e85afa5a189989b30f2c0f3bcd92b9e56985204371eb98f73e84069b1ab4  MCOETH-aggTrades-2018-01.zip,1874a1d48aa523846d5482d3fd052ff02db91c082ecd1b10f6fa21db160a80cd  MCOETH-aggTrades-2018-01.zip
ICNETH-aggTrades-2018-01,290125f07bd6e310267c1ea66209d923508d217a8207476d53bd3c97e7ede0a2  ICNETH-aggTrades-2018-01.zip,2bd8a0d3c494a909f8a9d2e21fc671d3d43ee3d21036c5febac94a4697492e7f  ICNETH-aggTrades-2018-01.zip
WTCBTC-aggTrades-2018-01,77fa33c39e0229fc8d9aff7d43520caf172b23e5421475b962794f35b857b3db  WTCBTC-aggTrades-2018-01.zip,136ac92fb4817ac984ebf6874e5a825dd67cf73b5a0015a538541e488dd3415e  WTCBTC-aggTrades-2018-01.zip
LRCETH-aggTrades-2018-01,db8a1cc2dbb2a3447f7654ba1baa8845517a4c574e99b1885efda59d0699f1a4  LRCETH-aggTrades-2018-01.zip,4dd4bae084d354bd02b18416d78f43fc70989124e96dff035a87f7ba4d116d07  LRCETH-aggTrades-2018-01.zip
OMGBTC-aggTrades-2017-12,22941e675d2bd4ee21081501e5493ef5536fd9c862a8569d592ba024e50b0460  OMGBTC-aggTrades-2017-12.zip,fdb6eed44264b61fcd1f47e63225a587708c734dbae122ff53c41648b5e39731  OMGBTC-aggTrades-2017-12.zip
OMGBTC-aggTrades-2018-01,346c09bbb1ed37e0f53e821c9e7154320cdbde3b021e6704f2a40d7631fae4ab  OMGBTC-aggTrades-2018-01.zip,894a4a295c1d4f3654770016036edabbffc9fe3ca5c4c9849b3055e07dab5fc8  OMGBTC-aggTrades-2018-01.zip
ZRXBTC-aggTrades-2018-01,8d3908afd652ac86f739573b29829d264a6d8654fad8a399abf2dd18b5ebb5ce  ZRXBTC-aggTrades-2018-01.zip,7a1beb286b059b0d3f2e3e5e3cad3d606d24226efac42e2468469df867fa6ca6  ZRXBTC-aggTrades-2018-01.zip
ZRXETH-aggTrades-2018-01,a64b055b1be6242f6b7dfb538bdc921dee01c54686c998159c178604654be869  ZRXETH-aggTrades-2018-01.zip,4935a4000021fefeee47cddab7c904e75d78efbd97904d22308f85b0eed1abfd  ZRXETH-aggTrades-2018-01.zip
STRATBTC-aggTrades-2018-01,8478405ada918fe688c6a55fb9a505b18e14327e423e3a2906558744f2094f79  STRATBTC-aggTrades-2018-01.zip,db7bc771587ac98cc8c6e39c1b14ebed6013a622f6414ac710e2a8b7d527042e  STRATBTC-aggTrades-2018-01.zip
STRATETH-aggTrades-2018-01,ae9fcb83464257ff265fa94e2d2d39d35bc81ecae2fe1cdddce3ba099490697d  STRATETH-aggTrades-2018-01.zip,85a44631ffe86f0797095033b9ce7149badb3be362cdbc95a94896a712108d86  STRATETH-aggTrades-2018-01.zip
SNGLSBTC-aggTrades-2018-01,d89aa250b35db750204b7855a6b2b78c65ee9aa41193c058e900eb555120987e  SNGLSBTC-aggTrades-2018-01.zip,3683c479f5bf6918048af78a89fb891f431a75c7ed6ed40af78988756df11e91  SNGLSBTC-aggTrades-2018-01.zip
SNGLSETH-aggTrades-2018-01,ff34d8b75b6408cd8924cde2468a0b6f1ae091f96909f81b23c99b1a1014e49e  SNGLSETH-aggTrades-2018-01.zip,eeac10d2caeaad958285078c14f34212b8a34fb6212d9ceecdc5ba3b9c34b5ee  SNGLSETH-aggTrades-2018-01.zip
BQXBTC-aggTrades-2018-01,549784b2e799adec1eb942d270e57e43ba66282c95825475a4c58d520433b143  BQXBTC-aggTrades-2018-01.zip,a0f20c67802fe232f4a53e8698abd0779ccc2a231f02a0e63ec3948460b18f20  BQXBTC-aggTrades-2018-01.zip
BQXETH-aggTrades-2018-01,ee0979694370d6a1aed57ea2fd938718d195999008af115a827f82ee1d11e02d  BQXETH-aggTrades-2018-01.zip,a72e33bece2b071c584b9b3b849b1bb8b9b307eaa54d5fdc6cc7d2380009b5cb  BQXETH-aggTrades-2018-01.zip
KNCBTC-aggTrades-2018-01,ce7bdad57ba7dfb2ca852cabc02af5bb3941169876bf5978483e6ca5a882b7ca  KNCBTC-aggTrades-2018-01.zip,90f2c7552e47d6089433f7f9d25c5f4a94169a8a43237cabf462150d856aafde  KNCBTC-aggTrades-2018-01.zip
FUNBTC-aggTrades-2018-01,7a2ad01a0a60dca3b30f7799da9f53948c8791b282d4c6f8c35523b0e1e15ec1  FUNBTC-aggTrades-2018-01.zip,6a287a154544fdda937498ba06bd0b725809367ed5f406a38d89b8faef0f4307  FUNBTC-aggTrades-2018-01.zip
FUNETH-aggTrades-2018-01,9d5c176273aa903bf0e53c59f6ce3dea9d235c32c65843659809083043c424a5  FUNETH-aggTrades-2018-01.zip,3a4ef4dac38088c38137851dd9678901c6e968edb206f3947bbcec44b1ba8b35  FUNETH-aggTrades-2018-01.zip
SNMBTC-aggTrades-2017-12,df612a00a63c45d9f9f439dad64c37516395104c47f297ab7d30609729871389  SNMBTC-aggTrades-2017-12.zip,bda4748e33c3783013a450838276f7c4fc84962419f2c22d7fe3ddcbf572205e  SNMBTC-aggTrades-2017-12.zip
SNMBTC-aggTrades-2018-01,c63ce5d80987cc4a22be0740f52a99d95be751accf2165dc4f335b9455ac2d6e  SNMBTC-aggTrades-2018-01.zip,6b0bf422df06361e64589b7f019649d936348a80146677e97b11864641838fcd  SNMBTC-aggTrades-2018-01.zip
NEOETH-aggTrades-2018-01,56adc7a4fbf267ab58ef9597bbb0c99b6ccaf5f0f35e47391d15a676a13d4fa5  NEOETH-aggTrades-2018-01.zip,a7de7d522a9a66f463e4a772e434bf4f657158f965111b14b525afd529910ef5  NEOETH-aggTrades-2018-01.zip
IOTABTC-aggTrades-2018-01,2dadbb3c646316f280adc3e2a7e2ad3f9b23b761afbeb3e8b21e91be52175068  IOTABTC-aggTrades-2018-01.zip,6b87b7049ae7510eb254e848c01643d29e616b7196ceee9500d4f4f168367762  IOTABTC-aggTrades-2018-01.zip
IOTAETH-aggTrades-2018-01,48164e1fb32f9c30df0d2b35556836f3572c56b3e29b7c6f099f4e298d0964a4  IOTAETH-aggTrades-2018-01.zip,710d874ad3776aa3aacf80698199ad2f7e8fed5512c0c7e8b97622f5810b683c  IOTAETH-aggTrades-2018-01.zip
